Number,Element Name,Full name,Classification,Color,Atomic weight,State(room temperature),Melting point(K),Boiling point(K),Density(g/cm^3),Atomic radius(pm),Crystal structure,
94,Pu,plutonium,actinide metal,silvery-white,244,solid,912.5,3505,19.816,159,monoclinic,
95,Am,Americium,actinide metal,silvery-white,243,solid,1449,2880,12,173,hexagonal,
96,Cm,Curium,actinide metal,silvery-white,247,solid,1613,3373,13.5,174,hexagonal close-packed,
97,Bk,Berkelium,actinide metal,silvery,247,solid,1259,2900,13.25,170,hexagonal close-packed,
98,Cf,Californium,actinide metal,silvery,251,solid,1173,1743,15.1,186,simple hexagonal,
99,Es,Einsteinium,actinide metal,silver-colored,252,solid,1133,1269,8.84,186,face-centered cubic,
100,Fm,Fermium,actinide metal,unknown,257,solid,1125,N/A,N/A,N/A,N/A,
101,Md,Mendelevium,actinide metal,unknown,258,solid,1100,N/A,N/A,N/A,N/A,
102,No,Nobelium,actinide metal,unknown,259,solid,1100,N/A,N/A,N/A,N/A,
103,Lr,Lawrencium,actinide metal,unknown,262,solid,1900,N/A,N/A,N/A,hexagonal close-packed,
104,Rf,Rutherfordium,transition metal,unknown,267,solid,2400,5800,23.2,150,hexagonal close-packed,(estimated)
105,Db,Dubnium,transition metal,unknown,268,solid,N/A,N/A,29.3,139,body-centered cubic,(estimated)
106,Sg,Seaborgium,transition metal,unknown,269,solid,N/A,N/A,35,132,body-centered cubic,(estimated)
107,Bh,Bohrium,transition metal,unknown,270,solid,N/A,N/A,37.1,128,hexagonal close-packed,(estimated)
108,Hs,Hassium,transition metal,silvery,269,solid,N/A,N/A,40.7,126,hexagonal close-packed,(estimated)
109,Mt,Meitnerium,transition metal,unknown,278,solid,N/A,N/A,37.4,128,face-centered cubic,(estimated)
110,Ds,Darmstadtium,transition metal,unknown,281,solid,N/A,N/A,34.8,132,body-centered cubic,(estimated)
111,Rg,Roentgenium,transition metal,unknown,281,solid,N/A,N/A,28.7,138,body-centered cubic,(estimated)
112,Cn,Copernicium,transtion metal,unknown,285,unknown,N/A,N/A,23.7,147,hexagonal close-packed,(estimated)
113,Uut,Ununtrium,poor metal,unknown,286,solid,700,1430,16,170,N/A,(estimated)
114,Fl,Flerovium,poor metal,unknown,289,solid,340,420,14,180,N/A,(estimated)
115,Uup,Ununpentium,poor metal,unknown,288,solid,670,1400,13.5,187,N/A,(estimated)
116,Lv,Livermorium,poor metal,unknown,293,solid,N/A,N/A,12.9,183,N/A,(estimated)
117,Uus,Ununseptium,metalloid,unknown,294,solid,N/A,N/A,7.2,138,N/A,(estimated)
118,Uuo,Ununoctium,noble gas,unknown,294,solid,N/A,N/A,13.65,152,N/A,(estimated)
